frame,time_sec,x_pixel,y_pixel,x_mm,y_mm,distance_from_center_mm,current_zone,in_arena,on_feeder,transition_event,tag_type,bee_id,trial_outcome
7560,125.8,1349.0,403.0,435.7,43.53,437.87,Exited,False,False,,auto,R35,Unknown
7572,126.0,1355.0,390.0,442.25,57.73,446.01,Exited,False,False,,auto,R35,Unknown
7584,126.2,1360.0,394.0,447.72,53.36,450.88,Exited,False,False,,auto,R35,Unknown
7596,126.4,1359.0,398.0,446.62,48.99,449.3,Exited,False,False,,auto,R35,Unknown
7608,126.6,1364.0,414.0,452.09,31.51,453.18,Exited,False,False,,auto,R35,Unknown
7620,126.8,1375.0,420.0,464.1,24.96,464.78,Exited,False,False,,auto,R35,Unknown
7632,127.0,1373.0,431.0,461.92,12.94,462.1,Exited,False,False,,auto,R35,Unknown
7644,127.2,1376.0,441.0,465.2,2.01,465.2,Exited,False,False,,auto,R35,Unknown
7656,127.4,1373.0,456.0,461.92,-14.38,462.14,Exited,False,False,,auto,R35,Unknown
7668,127.6,1376.0,468.0,465.2,-27.49,466.01,Exited,False,False,,auto,R35,Unknown
7680,127.8,1384.0,465.0,473.94,-24.21,474.56,Exited,False,False,,auto,R35,Unknown
7692,128.0,1390.0,456.0,480.49,-14.38,480.71,Exited,False,False,,auto,R35,Unknown
7704,128.2,1386.0,454.0,476.12,-12.19,476.28,Exited,False,False,,auto,R35,Unknown
7716,128.4,1379.0,437.0,468.47,6.38,468.52,Exited,False,False,,auto,R35,Unknown
7728,128.6,1380.0,431.0,469.57,12.94,469.75,Exited,False,False,,auto,R35,Unknown
7740,128.8,1376.0,413.0,465.2,32.6,466.34,Exited,False,False,,auto,R35,Unknown
7752,129.0,1373.0,408.0,461.92,38.07,463.49,Exited,False,False,,auto,R35,Unknown
7764,129.2,1370.0,394.0,458.64,53.36,461.74,Exited,False,False,,auto,R35,Unknown
7776,129.4,1360.0,382.0,447.72,66.47,452.62,Exited,False,False,,auto,R35,Unknown
7788,129.6,1359.0,371.0,446.62,78.49,453.47,Exited,False,False,,auto,R35,Unknown
7800,129.8,1355.0,361.0,442.25,89.42,451.2,Exited,False,False,,auto,R35,Unknown
7812,130.0,1353.0,342.0,440.07,110.18,453.65,Exited,False,False,,auto,R35,Unknown
7824,130.2,1352.0,331.0,438.98,122.19,455.67,Exited,False,False,,auto,R35,Unknown
7836,130.4,1345.0,312.0,431.33,142.95,454.4,Exited,False,False,,auto,R35,Unknown
7848,130.6,1340.0,297.0,425.86,159.34,454.7,Exited,False,False,,auto,R35,Unknown
7860,130.8,1334.0,279.0,419.31,179.01,455.92,Exited,False,False,,auto,R35,Unknown
7872,131.0,1327.0,264.0,411.66,195.4,455.68,Exited,False,False,,auto,R35,Unknown
7884,131.2,1323.0,259.0,407.29,200.86,454.13,Exited,False,False,,auto,R35,Unknown
7896,131.4,1318.0,239.0,401.83,222.71,459.42,Exited,False,False,,auto,R35,Unknown
7908,131.6,1320.0,247.0,404.01,213.97,457.18,Exited,False,False,,auto,R35,Unknown
7920,131.8,1323.0,263.0,407.29,196.49,452.21,Exited,False,False,,auto,R35,Unknown
7932,132.0,1326.0,263.0,410.57,196.49,455.16,Exited,False,False,,auto,R35,Unknown
7944,132.2,1315.0,241.0,398.55,220.53,455.49,Exited,False,False,,auto,R35,Unknown
7956,132.4,1322.0,254.0,406.2,206.32,455.59,Exited,False,False,,auto,R35,Unknown
7968,132.6,1320.0,245.0,404.01,216.16,458.2,Exited,False,False,,auto,R35,Unknown
7980,132.8,1309.0,247.0,391.99,213.97,446.59,Exited,False,False,,auto,R35,Unknown
7992,133.0,1315.0,246.0,398.55,215.06,452.87,Exited,False,False,,auto,R35,Unknown
8004,133.2,1305.0,229.0,387.62,233.64,452.59,Exited,False,False,,auto,R35,Unknown
